"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Status"
"KRAS_SIGNALING_UP",0.188374596340151,0.289410963568267,0.0992333343771191,0.284231758935026,1.18532571125454,106,"PLAUR; CAB39L; SCG3; PLAU; IL10RA; DNMBP; MAP7; TRIB1; RELN; TMEM158; CBX8; VWA5A; PPP1R15A; MMP11; CCSER2; SCN1B; PTPRR; ETV1; PSMB8; FUCA1; CTSS; MTMR10; CFH; TSPAN13; YRDC; ADAM8; NRP1; ID2; CPE; TRIB2; BPGM; F2RL1; ERO1A","Upregulated"
"PANCREAS_BETA_CELLS",0.191011235955056,0.289410963568267,0.197822021315103,-0.348708637561001,-1.20894207662767,15,"PKLR; FOXO1; SRP9","Downregulated"
"PEROXISOME",0.230176211453745,0.338494428608448,0.0888945288620449,0.284971348808337,1.16137703837255,90,"ALDH1A1; RETSAT; PRDX5; CRAT; MVP; ACOT8; ABCD1; PEX11B; HRAS; ISOC1; SLC25A4; SLC35B2; FIS1; ALDH9A1; ERCC1; HSD3B7; DLG4; GSTK1; RDH11; VPS4B; ABCC5; CTBP1; DHRS3; PEX2; PEX14; TSPO; PEX5; HMGCL","Upregulated"
"NOTCH_SIGNALING",0.268015170670038,0.382878815242911,0.0880945010398517,0.36630771471518,1.16853115954911,25,"DTX2; FZD7; FBXW11; JAG1; KAT2A; PSEN2; PSENEN; ST3GAL6; NOTCH1; FZD1; CCND1; PRKCA","Upregulated"
"ESTROGEN_RESPONSE_EARLY",0.285101822079314,0.395974752887936,0.0758886900606117,0.259699583869597,1.11115402735992,136,"UNC119; SLC39A6; SYBU; BAG1; CELSR2; LRIG1; TSKU; CISH; ABCA3; SCNN1A; CANT1; DYNLT3; SFN; CLDN7; WFS1; NAV2; MICB; TPBG; SNX24; SYNGR1; MREG; FOS; MED24; GAB2; AMFR; ITPK1; KDM4B; AREG; ISG20L2; TPD52L1; RAB31; ABAT; KAZN; TFF1; DHRS3; KRT19; WWC1; OLFML3; ASB13; INHBB; ADD3; ELOVL2; TFF3; B4GALT1; ENDOD1; ADCY9; NCOR2; ELOVL5; MUC1; MINDY1","Upregulated"
"PI3K_AKT_MTOR_SIGNALING",0.320796460176991,0.433508729968907,0.0714786287425507,0.268153242668487,1.08663548715502,87,"CAB39L; TNFRSF1A; HRAS; SFN; PIN1; AKT1S1; CALR; ARPC3; MAPKAP1; PIK3R3; NOD1; GRB2; RPTOR; CDKN1A; PRKAR2A; SQSTM1; GRK2; DUSP3; GSK3B; PRKAG1; CFL1; MKNK2; TSC2; PLCB1; STAT2; NFKBIB; RPS6KA1; RIPK1; AP2M1; PPP2R1B; EIF4E; PFN1; ARHGDIA; ARF1; MAP2K6; PRKCB; AKT1; RIT1; IRAK4; CAB39; TBK1; EGFR; ECSIT; UBE2D3","Upregulated"
"ADIPOGENESIS",0.338574423480084,0.434069773692415,0.066132620475844,0.243085044993373,1.07371725748582,173,"RETSAT; PEMT; NKIRAS1; CRAT; ESRRA; NDUFB7; SORBS1; APOE; DNAJB9; COX6A1; REEP5; BCKDHA; MGST3; SNCG; ITSN1; UQCR11; COL15A1; PGM1; CPT2; IFNGR1; AGPAT3; ADCY6; NDUFAB1; ACADS; DGAT1; UQCR10; ELMOD3; COX8A; CMPK1; BCL2L13; GPAT4; RNF11; SDHB; TALDO1; UQCRC1; ABCB8; MIGA2; HIBCH; ACO2; PHLDB1; PEX14; GPD2; NDUFS3; TST; COX7B; YWHAG; PFKFB3; CD151; ECHS1; G3BP2; DHRS7; MTCH2; QDPR; GPX4; ENPP2; ARAF; MRPL15; DBT; UQCRQ; RREB1; BAZ2A; CHUK; SUCLG1; ALDH2; CHCHD10","Upregulated"
"UV_RESPONSE_DN",0.335497835497836,0.434069773692415,0.0681513438679483,0.259633792621916,1.08408598689844,108,"DAB2; IRS1; LAMC1; COL1A2; SMAD7; LDLR; WDR37; PMP22; PIK3CD; ACVR2A; SIPA1L1; PIAS3; INSIG1; KALRN; CELF2; PRKCE; PIK3R3; SMAD3; NR3C1; PTPRM; ID1; NRP1; PEX14; MT1E; TJP1; SFMBT1; ICA1; ADD3; PRDM2; SERPINE1; F3; ATXN1; PDGFRB; NR1D2; RASA2; PTPN21; CDC42BPA; LTBP1; MAP1B; SRI; SYNE1; DDAH1; PRKCA; ANXA4","Upregulated"
"HEME_METABOLISM",0.404388714733542,0.505485893416928,0.0574877409561325,0.235479322762524,1.04180307797579,175,"SMOX; ARL2BP; SIDT2; PPP2R5B; MKRN1; CTNS; LRP10; HAGH; EZH1; GYPB; ADIPOR1; MFHAS1; ALAS2; SLC25A37; DCAF11; PGLS; MGST3; TNRC6B; ALAD; LAMP2; FTCD; GDE1; SLC10A3; ICAM4; SEC14L1; CCND3; KHNYN; RBM38; BTG2; BMP2K; TRIM58; YPEL5; FOXJ2; NR3C1; PSMD9; PPOX; KAT2B; RCL1; SDCBP; FBXO34; TRAK2; IGSF3; BPGM; PRDX2; BLVRA; HBQ1; SYNJ1; CPOX; AGPAT4; ADD1; GATA1; HEBP1; CCDC28A; HTATIP2; SELENBP1; NARF; KDM7A; ENDOD1; ISCA1; UROS","Upregulated"
"UV_RESPONSE_UP",0.433799784714747,0.529024127700911,0.0555947097758869,0.241033014204829,1.02652675668735,131,"BAK1; RHOB; HYAL2; MGAT1; MAPK8IP2; YKT6; GRINA; TAP1; PLCL1; CREG1; MMP14; RXRB; SPR; SLC25A4; IRF1; FURIN; AP2S1; STARD3; KLHDC3; CDC34; SELENOW; DGAT1; FOS; TMBIM6; CCND3; DLG4; BTG2; NPTXR; SQSTM1; EPHX1; ATP6V1F; CYB5R1; BTG1; SLC6A12; PPT1; JUNB; BTG3; KCNH2; TST; BID; CDKN2B","Upregulated"
