"Event.ID" "Gene" "dPSI" "Pdiff"
"HsaEX0051382" "PXDN" -0.135037275130057 1
"HsaEX0007674" "BAT2L" -0.0557980092359197 0.678
"HsaEX0007675" "BAT2L" -0.202664131168044 0.8675
"HsaEX0073399" "ZNF317" -0.376687883443531 0.88325
"HsaEX0063152" "SYNE1" -0.0131059964939418 0.60475
"HsaEX0063158" "SYNE1" -0.0213049256433721 0.66
"HsaEX0010498" "C20orf4" -0.171401416059292 0.672
"HsaEX0012378" "CAPN7" -0.291756230411773 0.992
"HsaEX0004216" "ANKHD1" -0.185453458760143 0.7725
"HsaEX0019673" "DIAPH1" -0.00305067282107863 0.547
"HsaEX0050085" "PRKAB2" 0.00701729395398705 0.5315
"HsaEX0038209" "MCCC2" -0.153578786029242 0.6765
"HsaEX0001682" "ACACA" -0.374366254794004 0.90425
"HsaEX0051985" "RAF1" -0.188609753399107 0.99975
"HsaEX0004350" "ANKRD17" 0.0617134606567407 0.6555
"HsaEX0005604" "ARHGEF11" -0.00412258698645829 0.556
"HsaEX0025341" "FBXO44" 0.0242691039111419 0.57325
"HsaEX0071797" "XPO4" -0.116710508185975 0.72825
"HsaEX0040027" "MPRIP" 0.00520104337168033 0.70575
"HsaEX0049206" "POSTN" 0.0379820648690009 0.84075
"HsaEX0009151" "C12orf29" -0.39506691927356 0.964
"HsaEX0033622" "KIAA0427" -0.12026273567338 0.73475
"HsaEX0021568" "EDEM1" -0.16596737525917 0.8655
"HsaEX0061442" "SPIRE1" -6.53640133888682e-05 0.5075
"HsaEX0036266" "LPIN1" 0.0810103757279462 0.57275
"HsaEX0041744" "NAV1" -0.000408990030671852 0.5145
"HsaEX0041746" "NAV1" -0.210605611797852 0.89525
"HsaEX0046906" "PHC2" -0.671126381994467 0.96525
"HsaEX0021082" "DTNA" 0.0860554824309594 0.61075
"HsaEX0019603" "DHX34" 0.151936652744966 0.58625
"HsaEX0005100" "APC" -0.218306966656626 0.72725
"HsaEX0068923" "UBQLN1" -0.228319119401738 0.99325
"HsaEX0020007" "DMTF1" -0.0221990479073544 0.5375
"HsaEX0037602" "MAP3K7" 0.0059238318783421 0.544
"HsaEX0047033" "PHF21A" -0.0204274466929366 0.643
"HsaEX0044853" "OS9" 0.0334047248479128 0.69275
"HsaEX0053051" "REPS1" -0.175900868227004 0.86975
"HsaEX0051567" "RAB11FIP5" 0.0872495570108131 0.603
"HsaEX0038399" "MDM2" 0.188528953390278 0.78425
"HsaEX0053805" "RNASEL" -0.00971467293622709 0.56675
"HsaEX0022024" "EIF4E2" 0.0885212068321592 0.60775
"HsaEX0036074" "LMO7" -0.00193821974106922 0.57275
"HsaEX0056190" "SAP130" -0.0150348604088938 0.57225
"HsaEX0008092" "BIN1" 0.000939601227524744 0.52
"HsaEX0069151" "UGGT1" -0.0491677471441873 0.828
"HsaEX0033597" "KIAA0368" -0.0884541843070151 0.662
"HsaEX0064542" "TEX10" 0.0966783003713405 0.711
"HsaEX0065134" "TLN1" 9.10618735966186e-05 0.50075
"HsaEX0065925" "TMEM63B" -0.004830999519299 0.57575
"HsaEX0016967" "CPEB2" 0.0454976798965734 0.545
"HsaEX0044209" "NUMA1" 0.012942337947537 0.603
"HsaEX0042471" "NEK1" 0.117521625866788 0.651
"HsaEX0071940" "YAP1" -0.303251469677169 0.99925
"HsaEX0071941" "YAP1" -0.121163610830918 0.883
"HsaEX0003756" "ALKBH8" -0.412165916245864 0.703
"HsaEX0060197" "SLTM" -0.0699744575348877 0.87925
"HsaEX0060199" "SLTM" 0.0512360717299347 0.7485
"HsaEX0034535" "KIF23" -0.428772557307709 0.863
"HsaEX0060424" "SMEK2" -0.16050611999326 0.84725
"HsaEX0064924" "THUMPD2" -0.0733725527762801 0.5455
"HsaEX0050002" "PREPL" -0.130780719591539 0.88375
"HsaEX0041321" "MYOF" -0.00154384583913836 0.5765
"HsaEX0061840" "SSFA2" -0.214793166870528 0.995
"HsaEX0057004" "SECISBP2L" -0.0603972652349904 0.60475
"HsaEX0024003" "FAM13A" -0.250737740863826 0.654
"HsaEX0026714" "G3BP2" -0.0948879966305126 0.9785
"HsaEX0035611" "LEF1" -0.216824969204343 0.75225
"HsaEX0056906" "SEC24B" -0.0942363427547489 0.7395
"HsaEX0037796" "MAPK8IP3" -0.148795017899991 0.796
"HsaEX0003940" "AMIGO2" -0.284148408828311 0.8815
"HsaEX0058699" "SLC15A4" -0.297586554469935 0.98275
"HsaEX0009173" "C12orf41" -0.339551150161689 0.976
"HsaEX0026944" "GALNT6" -0.000109810980364888 0.50025
"HsaEX0052671" "RBM26" 0.0467285861722185 0.602
"HsaEX0013956" "CDAN1" -0.566274644246455 0.99825
"HsaEX0042117" "NCOR1" -0.0779015414926304 0.7915
"HsaEX0042119" "NCOR1" -0.114286212408794 0.79025
"HsaEX0039303" "MINK1" 0.100642345407374 0.775
"HsaEX0039305" "MINK1" -0.125860775478257 0.63275
"HsaEX0038068" "MBD1" 9.40295320151097e-05 0.5025
"HsaEX0020877" "DPP9" -0.043913678726172 0.8615
"HsaEX0065861" "TMEM50B" -0.183696206237909 0.80325
"HsaEX0012472" "CARM1" -0.0394803019737418 0.8925
"HsaEX0023381" "EVI5L" -0.199918197443021 0.891
"HsaEX0051138" "PTPRF" -0.0154169360288859 0.659
"HsaEX0051140" "PTPRF" -0.0155089185069166 0.65675
"HsaEX0002604" "ADAMTSL4" 0.130403418079972 0.649
"HsaEX0005986" "ARNT" -0.31061610114617 0.9965
"HsaEX0048836" "POGZ" -0.495377771277901 0.99625
"HsaEX0014725" "CEP170" -0.0239712119221847 0.545
"HsaEX0038792" "MEIS1" -0.450822986244244 0.95425
"HsaEX0058823" "SLC20A1" 0.0192817025776519 0.674
"HsaEX0029102" "GULP1" -0.0175685214339356 0.6915
"HsaEX0019787" "DIS3L2" 0.00860855806140723 0.55625
"HsaEX0021437" "EAF1" -0.0184532997024602 0.53425
"HsaEX0027973" "GOLGA4" -0.533334625387257 0.99925
"HsaEX0051148" "PTPRG" 0.079345573337672 0.615
"HsaEX0024519" "FAM55C" 0.0491757650702355 0.597
"HsaEX0033514" "KIAA0226" -0.442884656928067 0.96125
"HsaEX0025812" "FIP1L1" -0.23107072320555 0.7795
"HsaEX0025813" "FIP1L1" -0.107438808200101 0.9425
"HsaEX0025814" "FIP1L1" -0.406252519157811 0.99775
"HsaEX0025815" "FIP1L1" -0.148869061759097 0.903
"HsaEX0012219" "CAMK2D" -0.186478130202146 0.991
"HsaEX0069974" "USP53" -0.0885016428709373 0.60625
"HsaEX0030034" "HISPPD1" 0.10789658562089 0.717
"HsaEX0059336" "SLC30A5" 0.0299375118121744 0.6755
"HsaEX0025315" "FBXO38" -0.102235081298914 0.827
"HsaEX0063924" "TBC1D7" -0.240018557171244 0.95075
"HsaEX0056676" "SCUBE3" -0.100549179509827 0.58
"HsaEX0056677" "SCUBE3" -0.0967972444192233 0.6215
"HsaEX0033358" "KDM6A" -0.0683373507778276 0.55225
"HsaEX0063414" "TAF1" -0.00834061770519373 0.531
"HsaEX0044702" "OGT" -0.221591298267653 0.96075
"HsaEX0036405" "LRP12" -0.230051184119533 0.7895
"HsaEX0069230" "UHRF2" 0.0318868683777913 0.5935
"HsaEX0014863" "CEP78" -0.285558890582688 0.82975
"HsaEX0029014" "GTF3C5" -0.055349899457426 0.598
"HsaEX0024630" "FAM73B" 0.189410076183652 0.85075
"HsaEX0071397" "WDR85" -0.256210477941046 0.94475
"HsaEX0045503" "PARD3" -0.278585735821638 0.82475
"HsaEX0029786" "HERC4" -0.0486384614347164 0.79025
"HsaEX0002804" "ADD3" -0.00219154517426655 0.51725
"HsaEX0036552" "LRRC27" -0.318468227691597 0.9
"HsaEX0036553" "LRRC27" -0.064227761759001 0.63475
"HsaEX0046123" "PDCD11" -0.0306372192160914 0.66625
"HsaEX0063598" "TAOK2" -0.0483125598627585 0.643
"HsaEX0024179" "FAM173B" -0.635798293789469 0.99875
"HsaEX0042850" "NGLY1" -0.454933099668992 0.949
"HsaEX0042851" "NGLY1" -0.33291220510971 0.84025
"HsaEX0029128" "GXYLT1" -0.144904717079545 0.6945
"HsaEX0009312" "C13orf27" -0.444372254887598 0.85625
"HsaEX0017555" "CSNK1G3" -0.081021577617249 0.87525
"HsaEX0017556" "CSNK1G3" -0.453425525907565 0.98375
"HsaEX0065614" "TMEM18" -0.195156388063026 0.8655
"HsaEX0026371" "FRMD4A" -0.33489140253689 0.99675
"HsaEX0026373" "FRMD4A" -0.0110757991991223 0.51675
"HsaEX0029088" "GUF1" -0.415623146044916 0.84875
"HsaEX0029089" "GUF1" -0.298172266527348 0.93475
"HsaEX0021043" "DST" -0.0157885015829899 0.67725
"HsaEX0021045" "DST" -0.338980898585142 0.8885
