"EVENT" "median_value" "mean_value" "var_value"
"HsaEX0002710" 1.6 32.9070588235294 2058.06095955882
"HsaEX0002772" 90.695 83.7264814814815 443.453385499651
"HsaEX0002775" 58.33 62.4819298245614 651.996508709273
"HsaEX0002792" 7.35 16.024 352.965608888889
"HsaEX0002801" 97.33 83.6547107438017 513.853136790634
"HsaEX0002804" 55.55 53.8280689655172 1311.42160457854
"HsaEX0002808" 86.775 74.0292 993.542272816327
"HsaEX0002812" 62.335 60.45640625 796.009386983268
"HsaEX0002813" 67.02 64.7278861788618 684.917043036119
"HsaEX0002816" 73.49 68.514921875 683.821141726132
"HsaEX0002844" 49.075 54.3892307692308 1268.17545571322
"HsaEX0002854" 61.9 61.4225862068966 671.01289934033
"HsaEX0002872" 87.765 84.7702112676056 240.416305628808
"HsaEX0002886" 86.68 86.3125174825175 65.3175513641288
"HsaEX0002894" 100 82.3595161290323 887.249103040719
"HsaEX0002895" 100 82.3090697674419 1144.3224372093
"HsaEX0002909" 46.06 49.2963559322034 769.369932761118
"HsaEX0002926" 4.685 22.2502142857143 947.815465421377
"HsaEX0002955" 18.25 25.47 681.314727659574
"HsaEX0002966" 28.48 36.6752991452991 955.582145814913
"HsaEX0002984" 83.33 80.3145255474453 287.429267604122
"HsaEX0003028" 0 17.3423762376238 1166.04386629703
"HsaEX0003043" 84.62 77.3395652173913 709.572697177727
"HsaEX0003055" 60 61.3875 864.420452570093
"HsaEX0003060" 45.95 49.3734328358209 1578.61172894618
"HsaEX0003063" 45.27 47.55 758.408929323308
"HsaEX0003080" 12.555 15.1057462686567 149.135484777242
"HsaEX0003149" 90.92 80.5784210526316 836.228238533835
"HsaEX0003154" 0 15.5758870967742 780.539598393653
"HsaEX0003174" 92.94 87.1899310344828 389.613249300766
"HsaEX0003194" 12.86 15.4133566433566 192.933185836698
"HsaEX0003208" 87.44 83.6573722627737 245.12347245599
"HsaEX0003209" 80.89 76.3771532846715 252.758355807213
"HsaEX0003232" 73.99 71.6415 344.121529388489
"HsaEX0003235" 71.95 70.5428461538462 593.530721293977
"HsaEX0003295" 86.68 71.334126984127 1175.98270204813
"HsaEX0003313" 100 81.4389320388349 765.566860612983
"HsaEX0003314" 78.37 78.2854838709677 559.671385827604
"HsaEX0003327" 46.735 54.63875 1447.95797477273
"HsaEX0003349" 84.2 80.7009154929577 210.464804120467
"HsaEX0003354" 76 73.9043448275862 306.782596963602
"HsaEX0003358" 37.67 46.2251724137931 860.503476532567
"HsaEX0003377" 86.97 77.7367391304348 879.776906908213
"HsaEX0003397" 10.37 12.7213986013986 124.579252959716
"HsaEX0003401" 12.98 16.0731914893617 200.279901884498
"HsaEX0003417" 63.91 58.6847857142857 1281.5449042703
"HsaEX0003428" 91.81 75.4697202797203 932.148626681769
"HsaEX0003461" 87.92 83.7603448275862 197.633856130268
"HsaEX0003462" 23.885 26.0849305555556 136.184118876263
"HsaEX0003465" 0.23 14.6112307692308 1011.29037971154
"HsaEX0003484" 95.485 85.5242372881356 564.42222120817
"HsaEX0003514" 2.755 37.3427777777778 2185.37899771242
"HsaEX0003523" 58 57.1005673758865 347.616948247214
"HsaEX0003527" 61.17 70.5342857142857 416.575661904762
"HsaEX0003545" 69.57 75.6722222222222 358.799994444444
"HsaEX0003552" 100 85.5594736842105 1098.62618890469
"HsaEX0003557" 78.975 72.7075 1017.38369318182
"HsaEX0003560" 36.02 40.8819230769231 1232.71176485671
"HsaEX0003568" 15.16 18.79 151.127342657343
"HsaEX0003573" 65.22 69.1009589041096 869.118917123288
"HsaEX0003574" 84.145 80.2958208955224 263.08023353159
"HsaEX0003652" 68.545 63.89125 1137.66677026699
"HsaEX0003689" 93.575 86.2261971830986 426.001128698432
"HsaEX0003698" 8.97 24.9913265306122 1323.48777451084
"HsaEX0003702" 17.27 21.7246853146853 283.497584231262
"HsaEX0003729" 13.51 16.0562937062937 141.228777011721
"HsaEX0003740" 77 75.518 156.726946666667
"HsaEX0003748" 22.63 27.8582442748092 478.999576124486
"HsaEX0003756" 85.88 83.9392253521127 196.796733438218
"HsaEX0003779" 100 75.8049382716049 1110.13268030864
"HsaEX0003784" 75 63.6121505376344 1505.88748662927
"HsaEX0003786" 83.095 76.403488372093 658.746484158687
"HsaEX0003819" 30.22 37.571978021978 963.113351599512
"HsaEX0003847" 2.355 14.6920689655172 696.641075682159
"HsaEX0003849" 83.33 76.5883620689655 502.38468685907
"HsaEX0003854" 11.93 17.5045045045045 491.852903161343
"HsaEX0003862" 0 29.2247368421053 1769.99719298246
"HsaEX0003885" 22.22 27.5352592592593 464.112628103925
"HsaEX0003888" 87.33 84.7387969924812 192.588116723627
"HsaEX0003902" 82.09 78.0537931034483 413.966083429119
"HsaEX0003920" 94.43 73.1698979591837 1224.47604431938
"HsaEX0003922" 90.54 87.0045925925926 166.105651885019
"HsaEX0003924" 88.48 85.0620588235294 205.11575869281
"HsaEX0003933" 100 86.0575342465753 609.373788280061
"HsaEX0003936" 72.59 70.9114457831325 592.007688128122
"HsaEX0003940" 26.58 30.5691596638655 547.23916369463
"HsaEX0003978" 2.56 27.3916129032258 1502.54544731183
"HsaEX0003998" 8.765 28.8000943396226 1287.06281427673
